Distance (m),Waist (m),Max Intensity,Field,Pixel Size (m)
0.0,0.004,2.533376131903422e-05,"[[ 4.80037635e-20+1.58819781e-21j  7.34785686e-20+5.37724194e-20j
   7.45434853e-20+2.11262204e-20j ...  1.93925157e-20+5.79824157e-20j
   3.30117989e-20+3.88140368e-20j -2.69627291e-21+2.23332481e-21j]
 [ 4.78998067e-20-1.57315739e-20j  6.56165060e-20+7.83781826e-21j
   6.12420362e-20-1.75549894e-20j ...  4.09396689e-20+6.14666891e-20j
   3.41664538e-20+3.82570926e-20j -2.95431489e-20-1.70401704e-20j]
 [-2.77778060e-20-3.21364419e-20j -2.22689203e-20-2.78539054e-20j
  -2.29152907e-20-4.49833355e-20j ...  1.52256324e-20+2.29178450e-21j
   1.75963183e-20+8.50220817e-21j -3.34846398e-20-3.14857817e-20j]
 ...
 [-6.15216117e-20-4.95840424e-20j -4.57442684e-21+8.38494255e-21j
   2.64644829e-20-6.56994224e-20j ...  5.65843172e-20+1.72407716e-19j
   2.25510264e-20+9.02320440e-20j  2.97423116e-20+1.10825171e-19j]
 [-9.93107253e-20-3.41606177e-20j -1.65600965e-20-2.68799873e-20j
  -2.36463746e-21-1.09727797e-19j ...  1.16615388e-20+1.10311172e-19j
  -2.99998843e-21+1.12027973e-21j  2.36323150e-20+1.49750044e-20j]
 [-5.69577695e-20+1.09354360e-19j -3.02459646e-21+1.16161171e-19j
  -1.42873288e-20+4.68343964e-20j ... -2.41868514e-20+1.03282102e-19j
  -5.58243757e-20-1.28195846e-20j -3.84131717e-20+2.60181340e-21j]]",7.8125e-06
0.1,0.0036640625000000002,3.0150577296689213e-05,"[[-3.17328543e-14+3.17571801e-14j -3.23447928e-14+2.28138095e-14j
  -3.39041566e-14+8.32244471e-15j ... -3.39041609e-14+8.32245803e-15j
  -3.23447036e-14+2.28137862e-14j -3.17328666e-14+3.17570167e-14j]
 [-3.23447330e-14+2.28137248e-14j -3.08467220e-14+1.68609172e-14j
  -2.99636541e-14+6.38059612e-15j ... -2.99637472e-14+6.38058792e-15j
  -3.08466743e-14+1.68609101e-14j -3.23447782e-14+2.28136605e-14j]
 [-3.39041204e-14+8.32243274e-15j -2.99636915e-14+6.38070206e-15j
  -2.58510330e-14+1.18789812e-15j ... -2.58511375e-14+1.18792736e-15j
  -2.99636484e-14+6.38069579e-15j -3.39041791e-14+8.32234107e-15j]
 ...
 [-3.39042174e-14+8.32237985e-15j -2.99637162e-14+6.38063113e-15j
  -2.58511572e-14+1.18781192e-15j ... -2.58510632e-14+1.18799463e-15j
  -2.99636491e-14+6.38069679e-15j -3.39041602e-14+8.32247205e-15j]
 [-3.23448247e-14+2.28137596e-14j -3.08467423e-14+1.68609405e-14j
  -2.99637974e-14+6.38060609e-15j ... -2.99637067e-14+6.38065080e-15j
  -3.08467275e-14+1.68608879e-14j -3.23447997e-14+2.28137384e-14j]
 [-3.17328792e-14+3.17570732e-14j -3.23447219e-14+2.28137140e-14j
  -3.39042036e-14+8.32232652e-15j ... -3.39041287e-14+8.32244464e-15j
  -3.23447729e-14+2.28137074e-14j -3.17329103e-14+3.17570664e-14j]]",7.8125e-06
0.2,0.0033359375,3.648406524085028e-05,"[[2.03396634e-13+7.79179523e-14j 1.77077837e-13+6.45134953e-14j
  1.34618157e-13+4.26551801e-14j ... 1.34618193e-13+4.26552932e-14j
  1.77077883e-13+6.45135567e-14j 2.03396742e-13+7.79180184e-14j]
 [1.77077787e-13+6.45135107e-14j 1.60595152e-13+5.55272893e-14j
  1.26849621e-13+3.65629728e-14j ... 1.26849590e-13+3.65630858e-14j
  1.60595151e-13+5.55273620e-14j 1.77077821e-13+6.45135906e-14j]
 [1.34618130e-13+4.26552653e-14j 1.26849674e-13+3.65630718e-14j
  1.02309681e-13+2.03907880e-14j ... 1.02309601e-13+2.03908564e-14j
  1.26849681e-13+3.65631200e-14j 1.34618195e-13+4.26553272e-14j]
 ...
 [1.34618210e-13+4.26553263e-14j 1.26849616e-13+3.65631124e-14j
  1.02309700e-13+2.03908044e-14j ... 1.02309750e-13+2.03907364e-14j
  1.26849626e-13+3.65630733e-14j 1.34618188e-13+4.26553280e-14j]
 [1.77077773e-13+6.45135708e-14j 1.60595025e-13+5.55273532e-14j
  1.26849593e-13+3.65630257e-14j ... 1.26849650e-13+3.65630487e-14j
  1.60595044e-13+5.55273550e-14j 1.77077747e-13+6.45135841e-14j]
 [2.03396788e-13+7.79179507e-14j 1.77077863e-13+6.45134826e-14j
  1.34618249e-13+4.26551339e-14j ... 1.34618185e-13+4.26553014e-14j
  1.77077744e-13+6.45136262e-14j 2.03396621e-13+7.79181191e-14j]]",7.8125e-06
0.30000000000000004,0.003,4.504481409820781e-05,"[[-1.18931938e-14-1.52199857e-13j -9.84026667e-15-1.55038069e-13j
  -7.72074824e-15-1.56483863e-13j ... -7.72068532e-15-1.56483913e-13j
  -9.84025837e-15-1.55038277e-13j -1.18931808e-14-1.52199960e-13j]
 [-9.84033194e-15-1.55038196e-13j -8.28843683e-15-1.65858103e-13j
  -4.61587978e-15-1.69059983e-13j ... -4.61583980e-15-1.69059959e-13j
  -8.28844562e-15-1.65858186e-13j -9.84031742e-15-1.55038154e-13j]
 [-7.72075637e-15-1.56483922e-13j -4.61586333e-15-1.69059968e-13j
   3.95755193e-15-1.69207036e-13j ...  3.95760002e-15-1.69207038e-13j
  -4.61585803e-15-1.69060058e-13j -7.72075449e-15-1.56483899e-13j]
 ...
 [-7.72068242e-15-1.56483837e-13j -4.61576155e-15-1.69059962e-13j
   3.95760901e-15-1.69206969e-13j ...  3.95762139e-15-1.69207023e-13j
  -4.61585222e-15-1.69059925e-13j -7.72076051e-15-1.56483803e-13j]
 [-9.84033228e-15-1.55038201e-13j -8.28841823e-15-1.65858184e-13j
  -4.61586119e-15-1.69059963e-13j ... -4.61579395e-15-1.69059994e-13j
  -8.28843803e-15-1.65858151e-13j -9.84033068e-15-1.55038172e-13j]
 [-1.18932641e-14-1.52199812e-13j -9.84034042e-15-1.55038089e-13j
  -7.72081407e-15-1.56483760e-13j ... -7.72061578e-15-1.56483920e-13j
  -9.84023042e-15-1.55038189e-13j -1.18931595e-14-1.52199882e-13j]]",7.8125e-06
0.4000000000000001,0.0026640625,5.7014091954685084e-05,"[[-1.30798792e-13-1.64734013e-13j -1.35706129e-13-1.60032329e-13j
  -1.49267770e-13-1.43798026e-13j ... -1.49267772e-13-1.43798039e-13j
  -1.35706088e-13-1.60032322e-13j -1.30798735e-13-1.64734062e-13j]
 [-1.35706169e-13-1.60032321e-13j -1.36069492e-13-1.48199089e-13j
  -1.42920675e-13-1.21446715e-13j ... -1.42920650e-13-1.21446646e-13j
  -1.36069427e-13-1.48199010e-13j -1.35706110e-13-1.60032308e-13j]
 [-1.49267741e-13-1.43798102e-13j -1.42920636e-13-1.21446781e-13j
  -1.41972733e-13-7.68976233e-14j ... -1.41972783e-13-7.68975519e-14j
  -1.42920638e-13-1.21446698e-13j -1.49267770e-13-1.43798044e-13j]
 ...
 [-1.49267767e-13-1.43798107e-13j -1.42920708e-13-1.21446786e-13j
  -1.41972819e-13-7.68976097e-14j ... -1.41972875e-13-7.68975723e-14j
  -1.42920743e-13-1.21446693e-13j -1.49267774e-13-1.43798133e-13j]
 [-1.35706145e-13-1.60032423e-13j -1.36069518e-13-1.48199175e-13j
  -1.42920679e-13-1.21446787e-13j ... -1.42920682e-13-1.21446729e-13j
  -1.36069512e-13-1.48199054e-13j -1.35706124e-13-1.60032381e-13j]
 [-1.30798742e-13-1.64734050e-13j -1.35706189e-13-1.60032346e-13j
  -1.49267849e-13-1.43798021e-13j ... -1.49267767e-13-1.43798140e-13j
  -1.35706133e-13-1.60032439e-13j -1.30798672e-13-1.64734190e-13j]]",7.8125e-06
0.5000000000000001,0.0023359375,7.447427666288022e-05,"[[1.02247533e-13+1.74893273e-14j 1.37113375e-13-1.79856677e-14j
  1.78498318e-13-5.25220361e-14j ... 1.78498332e-13-5.25220942e-14j
  1.37113345e-13-1.79858056e-14j 1.02247473e-13+1.74892280e-14j]
 [1.37113351e-13-1.79857462e-14j 1.66742483e-13-5.76867337e-14j
  1.91791897e-13-8.97164051e-14j ... 1.91791873e-13-8.97164064e-14j
  1.66742450e-13-5.76867995e-14j 1.37113318e-13-1.79857778e-14j]
 [1.78498384e-13-5.25220312e-14j 1.91791937e-13-8.97163481e-14j
  1.92997551e-13-1.09354180e-13j ... 1.92997515e-13-1.09354227e-13j
  1.91791910e-13-8.97164357e-14j 1.78498352e-13-5.25220876e-14j]
 ...
 [1.78498391e-13-5.25220745e-14j 1.91791967e-13-8.97163917e-14j
  1.92997563e-13-1.09354176e-13j ... 1.92997559e-13-1.09354172e-13j
  1.91791997e-13-8.97163952e-14j 1.78498429e-13-5.25220955e-14j]
 [1.37113423e-13-1.79857754e-14j 1.66742541e-13-5.76867456e-14j
  1.91791926e-13-8.97163920e-14j ... 1.91791842e-13-8.97163770e-14j
  1.66742468e-13-5.76867395e-14j 1.37113342e-13-1.79857157e-14j]
 [1.02247526e-13+1.74892869e-14j 1.37113379e-13-1.79856919e-14j
  1.78498377e-13-5.25220787e-14j ... 1.78498326e-13-5.25220332e-14j
  1.37113340e-13-1.79857218e-14j 1.02247457e-13+1.74892883e-14j]]",7.8125e-06
0.6000000000000001,0.002,0.00010137968957588815,"[[-1.40999010e-13+3.33579837e-14j -1.03162144e-13+2.99843865e-14j
  -6.60528343e-14+4.64329154e-14j ... -6.60527487e-14+4.64329493e-14j
  -1.03162038e-13+2.99843913e-14j -1.40998988e-13+3.33580923e-14j]
 [-1.03162064e-13+2.99843493e-14j -5.65645955e-14+2.56257258e-14j
  -2.90776884e-15+4.83841556e-14j ... -2.90777889e-15+4.83841621e-14j
  -5.65645759e-14+2.56256811e-14j -1.03162119e-13+2.99844095e-14j]
 [-6.60527284e-14+4.64329179e-14j -2.90775383e-15+4.83841725e-14j
   7.27680599e-14+8.08496787e-14j ...  7.27680086e-14+8.08497775e-14j
  -2.90773632e-15+4.83841658e-14j -6.60527619e-14+4.64329646e-14j]
 ...
 [-6.60526502e-14+4.64329609e-14j -2.90765710e-15+4.83840865e-14j
   7.27681770e-14+8.08497866e-14j ...  7.27680968e-14+8.08498014e-14j
  -2.90771476e-15+4.83841870e-14j -6.60527278e-14+4.64330437e-14j]
 [-1.03162205e-13+2.99843867e-14j -5.65646814e-14+2.56256298e-14j
  -2.90781195e-15+4.83842289e-14j ... -2.90769061e-15+4.83843019e-14j
  -5.65644889e-14+2.56257330e-14j -1.03161985e-13+2.99844574e-14j]
 [-1.40998998e-13+3.33580718e-14j -1.03162056e-13+2.99843801e-14j
  -6.60527338e-14+4.64330569e-14j ... -6.60527243e-14+4.64330326e-14j
  -1.03162080e-13+2.99844323e-14j -1.40999026e-13+3.33581841e-14j]]",7.8125e-06
0.7000000000000002,0.0016640625,0.0001460091810292345,"[[-1.06886072e-13-2.14398502e-13j -6.51736485e-14-2.06943494e-13j
   9.70828293e-15-1.79974723e-13j ...  9.70831836e-15-1.79974716e-13j
  -6.51735902e-14-2.06943484e-13j -1.06885971e-13-2.14398487e-13j]
 [-6.51736079e-14-2.06943434e-13j -1.33546043e-14-1.83750719e-13j
   7.17647517e-14-1.48753010e-13j ...  7.17647532e-14-1.48753114e-13j
  -1.33545384e-14-1.83750853e-13j -6.51734507e-14-2.06943567e-13j]
 [ 9.70833180e-15-1.79974790e-13j  7.17647328e-14-1.48753101e-13j
   1.57532287e-13-1.10023260e-13j ...  1.57532234e-13-1.10023191e-13j
   7.17647192e-14-1.48753004e-13j  9.70836276e-15-1.79974656e-13j]
 ...
 [ 9.70832386e-15-1.79974866e-13j  7.17647103e-14-1.48753145e-13j
   1.57532227e-13-1.10023336e-13j ...  1.57532309e-13-1.10023201e-13j
   7.17647560e-14-1.48752962e-13j  9.70835667e-15-1.79974656e-13j]
 [-6.51734925e-14-2.06943505e-13j -1.33545246e-14-1.83750735e-13j
   7.17647810e-14-1.48753062e-13j ...  7.17647400e-14-1.48753044e-13j
  -1.33545806e-14-1.83750765e-13j -6.51735379e-14-2.06943521e-13j]
 [-1.06885939e-13-2.14398520e-13j -6.51735680e-14-2.06943446e-13j
   9.70829488e-15-1.79974710e-13j ...  9.70832997e-15-1.79974808e-13j
  -6.51735854e-14-2.06943611e-13j -1.06885970e-13-2.14398673e-13j]]",7.8125e-06
0.8000000000000003,0.0013359375,0.0002281863999176391,"[[-3.78416104e-13-4.28831149e-13j -3.17742911e-13-2.78880867e-13j
  -2.57348124e-13-1.36215445e-13j ... -2.57348135e-13-1.36215449e-13j
  -3.17742942e-13-2.78880875e-13j -3.78416191e-13-4.28831098e-13j]
 [-3.17742880e-13-2.78880867e-13j -2.46190750e-13-1.47241104e-13j
  -1.84186721e-13-2.23204797e-14j ... -1.84186630e-13-2.23206056e-14j
  -2.46190714e-13-1.47241266e-13j -3.17742968e-13-2.78880948e-13j]
 [-2.57348128e-13-1.36215449e-13j -1.84186741e-13-2.23204808e-14j
  -1.27360824e-13+8.06221784e-14j ... -1.27360809e-13+8.06221945e-14j
  -1.84186727e-13-2.23205294e-14j -2.57348246e-13-1.36215449e-13j]
 ...
 [-2.57348174e-13-1.36215461e-13j -1.84186675e-13-2.23205084e-14j
  -1.27360777e-13+8.06221052e-14j ... -1.27360767e-13+8.06221870e-14j
  -1.84186594e-13-2.23204658e-14j -2.57348059e-13-1.36215403e-13j]
 [-3.17742821e-13-2.78880870e-13j -2.46190595e-13-1.47241135e-13j
  -1.84186585e-13-2.23205669e-14j ... -1.84186815e-13-2.23206557e-14j
  -2.46190776e-13-1.47241267e-13j -3.17742961e-13-2.78881008e-13j]
 [-3.78416189e-13-4.28831098e-13j -3.17742913e-13-2.78880829e-13j
  -2.57348123e-13-1.36215467e-13j ... -2.57348183e-13-1.36215418e-13j
  -3.17742923e-13-2.78880830e-13j -3.78416207e-13-4.28831159e-13j]]",7.8125e-06
0.9000000000000002,0.001,0.0004057779703432884,"[[-7.04637605e-13-9.84118992e-14j -5.89789871e-13-9.72997443e-14j
  -3.85598047e-13-5.90460009e-14j ... -3.85598038e-13-5.90460928e-14j
  -5.89789794e-13-9.72997423e-14j -7.04637537e-13-9.84119887e-14j]
 [-5.89789825e-13-9.72996386e-14j -4.77877922e-13-9.82328329e-14j
  -2.91885044e-13-5.59226218e-14j ... -2.91885000e-13-5.59225797e-14j
  -4.77877893e-13-9.82326786e-14j -5.89789789e-13-9.72996078e-14j]
 [-3.85597993e-13-5.90459356e-14j -2.91885007e-13-5.59227101e-14j
  -1.58700499e-13-6.33426948e-16j ... -1.58700602e-13-6.33508812e-16j
  -2.91885186e-13-5.59226701e-14j -3.85598139e-13-5.90459915e-14j]
 ...
 [-3.85598114e-13-5.90461708e-14j -2.91885144e-13-5.59227907e-14j
  -1.58700488e-13-6.33626011e-16j ... -1.58700523e-13-6.33569166e-16j
  -2.91885042e-13-5.59227562e-14j -3.85598010e-13-5.90459782e-14j]
 [-5.89789778e-13-9.72996465e-14j -4.77877910e-13-9.82327209e-14j
  -2.91884958e-13-5.59226931e-14j ... -2.91885080e-13-5.59226232e-14j
  -4.77877906e-13-9.82327761e-14j -5.89789779e-13-9.72995808e-14j]
 [-7.04637494e-13-9.84119260e-14j -5.89789802e-13-9.72995872e-14j
  -3.85598017e-13-5.90459681e-14j ... -3.85598218e-13-5.90457528e-14j
  -5.89789983e-13-9.72994677e-14j -7.04637686e-13-9.84116662e-14j]]",7.8125e-06
